Gender,Age,Height,Weight,Sport,Weekly_Training_Hours,Training_Intensity,Physical_Conditioning,Nutrition_Score,Previous_Injuries,Injury_Risk
Women,29,176,49.8,Running,17.6,High,3.7,7.7,5,high
Men,25,166,65.2,Football,15.7,High,7.0,2.0,4,high
Men,27,161,54.5,Running,4.5,Low,7.4,7.8,1,low
Women,21,174,55.2,Running,11.0,Moderate,1.2,2.2,1,low
Women,40,194,55.6,Swimming,6.8,Moderate,4.3,8.7,5,high
Men,22,175,82.5,Swimming,7.7,Moderate,6.9,6.0,2,high
Women,23,160,52.4,Running,0.5,Low,3.9,1.5,3,low
Women,19,172,68.9,Basketball,2.0,Low,4.7,2.4,3,low
Women,31,172,64.9,Football,17.0,High,9.2,9.1,0,high
Men,37,164,60.6,Running,12.6,Moderate,6.7,2.1,5,high
Men,30,204,88.9,Swimming,1.3,Low,9.3,2.8,2,high
Men,20,183,74.8,Running,3.0,Low,1.0,2.9,0,low
Women,18,172,55.6,Running,1.2,Low,6.8,6.2,5,low
Women,28,181,78.7,Basketball,13.8,Moderate,9.7,3.2,5,high
Men,27,160,57.8,Gymnastics,8.8,Moderate,4.9,5.1,3,low
Women,18,183,79.8,Swimming,0.4,Low,1.1,2.5,4,low
Women,18,172,78.4,Basketball,12.1,Moderate,4.7,3.5,0,low
Men,34,205,94.7,Swimming,0.0,Low,7.0,4.5,2,high
Men,26,172,50.3,Running,4.9,Low,3.5,5.4,3,low
Men,39,172,66.4,Gymnastics,12.4,Moderate,7.0,2.2,5,high
Women,31,174,54.9,Football,11.8,Moderate,1.7,6.0,0,low
Men,39,192,86.6,Football,3.1,Low,3.3,2.9,0,high
Women,19,151,45.8,Gymnastics,1.2,Low,6.1,3.4,1,low
Women,35,177,75.0,Basketball,11.7,Moderate,5.0,7.0,1,high
Women,33,159,54.8,Gymnastics,9.8,Moderate,4.3,1.7,4,low
Men,31,172,60.8,Gymnastics,3.0,Low,1.2,8.4,2,low
Men,20,186,83.5,Swimming,8.2,Moderate,1.8,4.2,4,high
Women,40,179,52.1,Running,1.1,Low,3.8,8.2,4,low
Women,34,157,47.5,Gymnastics,16.8,High,4.2,5.6,4,low
Women,39,151,41.9,Gymnastics,6.8,Moderate,5.9,5.8,5,low
Men,28,213,83.8,Basketball,13.9,Moderate,2.6,6.8,5,high
Women,40,169,52.7,Gymnastics,9.7,Moderate,5.5,8.7,0,high
Women,34,168,50.6,Running,12.3,Moderate,5.8,2.7,0,low
Men,31,178,71.1,Football,6.8,Moderate,2.8,5.5,0,low
Men,30,205,108.3,Basketball,17.2,High,4.9,5.2,3,high
Men,39,196,79.4,Basketball,19.7,High,5.6,6.4,0,high
Women,23,180,54.8,Running,15.2,High,2.8,1.5,1,low
Women,27,185,61.3,Basketball,0.3,Low,8.6,1.7,1,low
Men,18,166,71.1,Running,2.4,Low,3.1,3.4,4,low
Men,36,210,103.8,Basketball,14.5,Moderate,4.1,2.4,4,high
Men,19,166,76.9,Football,11.5,Moderate,8.2,4.3,4,high
Women,26,155,48.0,Gymnastics,11.3,Moderate,9.4,1.2,1,low
Women,40,200,69.4,Basketball,0.6,Low,9.5,5.2,5,high
Men,32,189,92.6,Swimming,17.7,High,7.2,8.3,3,high
Men,38,203,95.4,Basketball,14.0,Moderate,2.5,6.7,0,high
Men,39,188,60.7,Running,9.2,Moderate,9.7,7.3,2,high
Women,38,193,77.9,Basketball,18.2,High,7.7,7.0,2,high
Men,37,197,100.7,Basketball,14.4,Moderate,2.1,7.9,1,high
Women,24,194,59.1,Swimming,18.8,High,5.6,5.3,3,high
Women,19,173,74.6,Football,11.5,Moderate,8.1,4.9,0,high
Women,37,172,51.6,Football,18.7,High,9.3,6.6,5,high
Men,27,183,108.8,Basketball,13.5,Moderate,8.3,1.9,1,high
Men,23,178,58.4,Gymnastics,9.5,Moderate,8.8,3.8,5,high
Women,24,169,62.0,Football,8.6,Moderate,6.5,10.0,4,high
Women,22,153,47.4,Gymnastics,6.5,Moderate,8.7,8.6,3,low
Women,31,175,59.6,Running,15.9,High,5.0,6.8,4,high
Men,21,172,84.1,Football,5.4,Moderate,1.3,3.6,2,low
Men,38,176,67.8,Gymnastics,12.7,Moderate,8.1,1.3,5,high
Women,25,177,48.9,Running,15.4,High,9.1,8.4,0,high
Men,32,183,86.8,Football,9.1,Moderate,9.0,7.1,2,high
Men,32,190,66.7,Football,10.0,Moderate,3.8,8.6,0,high
Men,27,176,51.2,Running,6.4,Moderate,4.6,1.6,1,low
Men,26,182,80.1,Basketball,5.4,Moderate,1.1,7.8,1,low
Men,28,178,64.5,Football,17.0,High,5.2,4.9,1,high
Men,20,203,92.9,Swimming,2.5,Low,4.9,1.3,0,high
Women,20,172,74.6,Swimming,18.1,High,6.8,4.2,5,high
Women,29,181,54.3,Football,16.3,High,6.0,4.4,0,high
Women,33,155,60.8,Running,1.2,Low,9.6,9.1,1,low
Men,33,169,74.3,Gymnastics,13.0,Moderate,9.3,3.4,2,high
Men,35,163,68.8,Gymnastics,3.0,Low,2.2,2.1,0,low
Women,34,172,50.7,Football,16.4,High,9.2,9.2,3,high
Men,32,160,58.5,Gymnastics,19.4,High,2.3,5.9,3,high
Men,27,178,64.1,Gymnastics,10.9,Moderate,7.7,3.9,4,high
Women,33,184,69.8,Swimming,2.4,Low,8.2,6.7,5,high
Women,22,199,71.9,Basketball,7.3,Moderate,8.9,3.3,0,high
Men,38,191,82.9,Football,1.7,Low,7.0,7.8,4,high
Men,27,181,68.5,Running,11.1,Moderate,3.2,8.4,3,high
Men,36,180,92.5,Swimming,5.0,Low,3.4,2.7,4,high
Women,23,178,45.2,Running,8.8,Moderate,7.7,8.8,3,low
Women,22,175,69.4,Football,3.6,Low,5.4,6.2,4,low
Men,32,186,101.6,Basketball,9.9,Moderate,9.0,2.0,0,high
Men,27,209,104.0,Basketball,15.9,High,3.3,4.2,3,high
Women,26,178,67.4,Basketball,17.9,High,6.7,1.6,4,high
Women,25,170,49.8,Gymnastics,6.4,Moderate,9.8,3.6,5,low
Women,27,182,60.2,Football,11.5,Moderate,4.5,6.2,4,high
Women,21,166,67.6,Football,2.6,Low,7.4,4.8,0,low
Women,40,156,54.1,Football,13.5,Moderate,3.4,4.4,5,high
Women,22,186,66.6,Basketball,7.2,Moderate,3.4,1.8,2,low
Men,19,206,82.8,Basketball,15.5,High,4.1,3.4,4,high
Women,23,175,61.9,Football,2.7,Low,3.8,5.1,4,low
Women,38,158,70.1,Football,13.0,Moderate,9.4,9.9,5,high
Men,28,186,66.1,Swimming,11.3,Moderate,1.9,3.3,2,high
Women,24,180,64.5,Running,5.4,Moderate,9.7,7.7,0,low
Men,39,188,89.2,Football,6.6,Moderate,9.0,5.9,0,high
Women,20,179,61.5,Running,13.1,Moderate,2.5,6.0,1,low
Women,35,187,61.3,Basketball,17.1,High,7.5,6.4,5,high
Women,39,174,65.8,Basketball,18.1,High,2.1,5.7,3,high
Men,21,183,56.3,Running,9.3,Moderate,3.4,4.2,2,low
Men,20,192,74.9,Football,19.5,High,9.4,8.5,5,high
Women,34,151,53.5,Running,7.2,Moderate,5.9,1.9,4,low
Women,22,165,56.7,Football,9.2,Moderate,3.7,2.8,2,low
Men,30,186,65.2,Football,2.3,Low,6.2,7.5,4,high
Men,21,195,94.2,Basketball,18.7,High,3.2,5.7,0,high
Men,19,194,73.5,Football,9.9,Moderate,2.1,7.1,0,low
Women,33,188,72.4,Basketball,19.0,High,2.7,1.2,3,high
Men,40,186,96.1,Swimming,14.6,Moderate,7.1,5.0,0,high
Men,25,175,60.7,Football,7.7,Moderate,6.5,5.2,2,low
Women,22,156,44.9,Gymnastics,13.6,Moderate,8.0,3.7,3,low
Women,27,164,62.4,Running,0.8,Low,7.1,5.5,1,low
Women,18,153,46.2,Running,17.0,High,9.8,9.8,4,low
Men,24,188,73.1,Swimming,18.5,High,1.4,3.0,2,high
Women,28,193,60.4,Swimming,7.8,Moderate,2.8,1.7,5,high
Men,28,212,88.1,Basketball,7.6,Moderate,4.3,3.6,1,high
Men,34,184,70.3,Running,9.2,Moderate,8.5,5.1,2,high
Men,23,179,60.0,Gymnastics,9.7,Moderate,1.1,1.1,3,low
Men,21,165,56.6,Gymnastics,11.9,Moderate,3.6,4.1,0,low
Men,31,165,74.7,Running,17.1,High,7.6,7.8,4,high
Women,21,160,72.6,Football,13.8,Moderate,8.2,8.9,2,high
Women,28,153,46.5,Gymnastics,3.1,Low,2.2,2.3,3,low
Women,39,190,57.9,Swimming,1.2,Low,7.0,3.1,2,high
Women,21,177,69.1,Basketball,10.7,Moderate,2.4,8.0,0,low
Men,34,183,73.6,Football,0.6,Low,5.2,7.0,2,high
Women,35,160,49.2,Gymnastics,10.3,Moderate,9.6,7.0,5,high
Men,26,212,78.5,Basketball,0.6,Low,5.9,5.8,0,high
Men,37,185,64.4,Running,2.5,Low,4.1,1.1,0,low
Women,35,165,48.1,Running,4.9,Low,2.4,6.0,4,low
Women,24,180,55.4,Football,15.4,High,3.3,9.1,2,high
Women,25,191,60.7,Swimming,14.7,Moderate,1.1,2.3,2,low
Women,27,161,63.8,Football,0.7,Low,8.7,5.6,4,low
Women,29,176,84.4,Basketball,3.6,Low,2.5,7.0,4,high
Women,24,179,70.1,Basketball,5.0,Moderate,9.2,5.0,0,low
Men,28,181,63.7,Football,8.1,Moderate,3.4,9.3,3,high
Men,32,180,103.1,Basketball,10.5,Moderate,7.7,1.3,5,high
Men,22,160,51.7,Running,0.9,Low,3.8,6.2,3,low
Women,27,184,69.0,Football,4.9,Low,2.1,9.0,2,low
Women,29,167,47.4,Gymnastics,12.9,Moderate,8.6,6.4,1,low
Men,19,161,63.4,Gymnastics,16.4,High,7.1,9.2,3,high
Men,27,182,88.6,Swimming,16.7,High,8.7,1.2,2,high
Women,34,190,81.8,Basketball,17.0,High,7.1,7.4,1,high
Women,24,167,49.3,Gymnastics,7.8,Moderate,5.8,2.4,0,low
Women,34,196,78.1,Basketball,0.5,Low,3.1,2.8,1,high
Men,29,173,59.1,Gymnastics,16.8,High,5.9,5.6,4,high
Women,22,168,50.3,Gymnastics,7.8,Moderate,2.2,5.7,1,low
Men,23,172,61.0,Football,7.4,Moderate,7.8,4.2,2,low
Men,21,194,68.7,Football,9.2,Moderate,5.3,6.6,0,high
Men,32,184,70.9,Basketball,19.4,High,1.3,7.0,4,high
Women,35,157,43.7,Gymnastics,12.8,Moderate,3.4,3.6,5,low
Women,37,178,68.7,Swimming,10.9,Moderate,7.1,3.5,4,high
Men,34,177,58.0,Gymnastics,18.6,High,3.1,1.5,4,high
Women,37,160,70.9,Football,18.7,High,2.3,7.5,1,high
Men,31,184,99.7,Basketball,15.7,High,9.4,1.8,3,high
Men,34,177,76.8,Swimming,9.1,Moderate,5.2,2.5,1,high
Men,35,184,52.3,Running,7.0,Moderate,6.5,8.7,0,high
Women,37,177,65.5,Swimming,2.9,Low,4.9,9.4,0,high
Men,35,200,85.5,Swimming,10.3,Moderate,5.1,4.3,0,high
Men,25,189,66.5,Football,15.6,High,9.0,6.2,0,high
Women,27,169,70.6,Swimming,0.0,Low,9.9,2.5,0,low
